article_id,expr_type,value,char_offset
1076.txt,deictic,year,2015
1076.txt,deictic,Winter,1323
1077.txt,deictic,year,226
1077.txt,deictic,week,255
1077.txt,deictic,year,372
1077.txt,deictic,year,684
1077.txt,deictic,last August,505
1077.txt,deictic,summer,776
1077.txt,deictic,winter,1117
1078.txt,deictic,next month,555
1078.txt,deictic,last year,586
1078.txt,deictic,year,1475
1078.txt,deictic,summer,157
1078.txt,deictic,Saturday,198
1078.txt,deictic,Saturday,1120
1078.txt,deictic,Saturday,1836
1078.txt,deictic,Saturday,2593
1079.txt,deictic,year,1208
1080.txt,deictic,year,541
1080.txt,deictic,year,765
1080.txt,deictic,year,833
1080.txt,deictic,year,1177
1080.txt,deictic,year,1313
1080.txt,deictic,week,1368
1080.txt,deictic,week,1501
1080.txt,deictic,Wednesday,174
1080.txt,deictic,Friday,278
1081.txt,deictic,year,528
1081.txt,deictic,Friday,161
1081.txt,deictic,Sunday,843
1082.txt,deictic,last year,670
1082.txt,deictic,year,759
1082.txt,deictic,last year,933
1082.txt,deictic,year,1205
1083.txt,simple,"14 May, 1870",263
1083.txt,deictic,year,1458
1083.txt,deictic,year,3112
1083.txt,deictic,year,9396
1083.txt,deictic,Spring,3952
1085.txt,deictic,last year,191
1085.txt,deictic,last March,1054
1086.txt,deictic,week,1000
1086.txt,deictic,Last month,1542
1086.txt,deictic,summer,150
1086.txt,deictic,Thursday,716
1088.txt,deictic,year,406
1088.txt,deictic,last October,436
1089.txt,deictic,week,369
1089.txt,deictic,week,432
1089.txt,deictic,year,775
1089.txt,deictic,Sunday,1083
1089.txt,deictic,Sunday,1202
1090.txt,deictic,next month,93
1090.txt,deictic,last week,804
1090.txt,deictic,year,1400
1090.txt,deictic,year,1951
1090.txt,deictic,Tuesday,1224
1091.txt,deictic,year,138
1091.txt,deictic,week,199
1091.txt,deictic,year,225
1091.txt,deictic,week,682
1091.txt,deictic,week,784
1091.txt,deictic,week,1172
1091.txt,deictic,Thursday,1051
1091.txt,deictic,Saturday,89
1092.txt,deictic,year,1070
1092.txt,deictic,year,1123
1092.txt,deictic,year,1160
1092.txt,deictic,Tuesday,178
1093.txt,deictic,Tuesday,824
1093.txt,deictic,Wednesday,587
1094.txt,deictic,Saturday,51
1095.txt,deictic,year,1133
1095.txt,deictic,Friday,506
1095.txt,deictic,Friday,921
1096.txt,deictic,week,364
1096.txt,deictic,year,1052
1096.txt,deictic,last year,1207
1097.txt,deictic,Today,1158
1098.txt,deictic,year,357
1098.txt,deictic,last year,565
1099.txt,deictic,year,274
1099.txt,deictic,Monday,770
1099.txt,deictic,Saturday,2050
1100.txt,deictic,week,362
1103.txt,deictic,year,147
1103.txt,deictic,week,329
1103.txt,deictic,week,547
1103.txt,deictic,week,842
1103.txt,deictic,week,1173
1103.txt,deictic,week,1277
1103.txt,deictic,Monday,283
1103.txt,deictic,Saturday,241
1105.txt,deictic,year,197
1105.txt,deictic,last year,259
1105.txt,deictic,today,693
1105.txt,deictic,Wednesday,495
1106.txt,deictic,year,1329
1107.txt,deictic,last week,491
1107.txt,deictic,week,881
1107.txt,deictic,year,1207
1108.txt,deictic,year,376
1108.txt,deictic,autumn,921
1108.txt,deictic,Wednesday,312
1108.txt,deictic,Friday,414
1108.txt,deictic,Saturday,784
1108.txt,deictic,Saturday,1609
1108.txt,deictic,Saturday,1941
1109.txt,deictic,last year,5702
1109.txt,deictic,summer,1079
1109.txt,deictic,summer,2217
1109.txt,deictic,summer,2405
1109.txt,deictic,summer,2434
1109.txt,deictic,summer,2633
1109.txt,deictic,summer,5137
1110.txt,deictic,week,128
1110.txt,deictic,week,424
1110.txt,deictic,week,437
1110.txt,deictic,Thursday,293
1111.txt,deictic,week,756
1112.txt,deictic,year,1671
1112.txt,deictic,summer,340
1112.txt,deictic,Saturday,21
1114.txt,deictic,year,188
1114.txt,deictic,year,1393
1115.txt,deictic,Sunday,1538
1116.txt,deictic,last year,914
1116.txt,deictic,year,924
1117.txt,deictic,year,197
1117.txt,deictic,tomorrow,589
1118.txt,deictic,previous week,1068
1119.txt,deictic,year,2024
1119.txt,deictic,Sunday,122
1120.txt,deictic,year,902
